id,created_at,user_text,Categor�a Legal,Normativa,Penalidad Estimada,Detalles
1,2026-01-07 12:33:27.876231+00,a ver a que hora se culea a su madre,INJURIA,Art�culo 145 del C�digo Penal de Costa Rica.,Veinte a sesenta d�as multa.,"La frase constituye una expresi�n vulgar y altamente ofensiva que atenta gravemente contra el honor y la dignidad de la persona a quien va dirigida, al involucrar de forma deshonrosa y con connotaci�n sexual a un familiar directo. Se encuadra en el delito de injuria, de conformidad con el art�culo 145 del C�digo Penal, al ser una expresi�n que menoscaba la dignidad de otro."
4,2026-01-08 03:09:10.07586+00,Para que no nos de tristeza verte salir con 91 a�os contagiado de s�filis. ,INJURIA,C�digo Penal Art. 145,Veinticinco a cincuenta d�as multa.,"La frase ofende el honor y el decoro de una persona al proyectar una condici�n de salud estigmatizante (s�filis) en una edad avanzada. Esto constituye una imputaci�n deshonrosa que menoscaba la dignidad personal, encajando en la definici�n de injuria."
5,2026-01-08 03:09:52.515849+00,Que listo para aprender a debatir.,NO INFRACCIÓN,N/A,N/A,El texto proporcionado es una expresión de disposición para aprender y no describe hechos que constituyan ninguna infracción a las leyes de Costa Rica.
6,2026-01-08 03:10:31.184273+00,Por homosexual.,NO INFRACCIÓN,N/A,N/A,"La frase 'Por homosexual' por sí misma no describe ningún hecho que constituya una infracción a las leyes de Costa Rica. No imputa un delito, no expresa una amenaza, no lesiona la intimidad, no utiliza imagen o voz sin consentimiento, y no es un delito informático. Aunque en ciertos contextos podría ser parte de un discurso discriminatorio, la frase aislada no cumple los elementos objetivos de ningún tipo penal como injuria o difamación, ya que la homosexualidad no es considerada legalmente una cualidad deshonrosa o un hecho que menoscabe la honra o reputación por sí mismo."
7,2026-01-08 03:36:19.688822+00,Gracias por ser un cornudo cobarde.,INJURIA,"Código Penal, Artículo 145",Veinticinco a cien días multa.,"La frase 'Gracias por ser un cornudo cobarde' constituye una expresión deshonrosa y desacreditadora dirigida a otra persona. Esto calza con la definición de Injuria, que sanciona a quien deshonrare o desacreditare a otro."
8,2026-01-08 03:37:02.143424+00,Ya acept� que iba a debatir seguido de.,NO INFRACCIÓN,No aplica,No aplica,"El texto proporcionado no describe hechos que puedan constituir una infracción a las leyes de Costa Rica. Simplemente indica la aceptación de participar en un debate, lo cual no es ilícito."
9,2026-01-08 03:37:49.277611+00,"Mae, se te est� volviendo loco desde el otro inmueble.",NO INFRACCIÓN,N/A,N/A,"El texto proporcionado describe una observación sobre el comportamiento de una persona ('se te está volviendo loco') en relación con otro inmueble. Esta expresión, en sí misma y sin contexto adicional, no constituye una amenaza, calumnia, injuria o cualquier otro delito tipificado en la legislación penal de Costa Rica. Es una queja o comentario coloquial que no alcanza el umbral de una infracción legal."
10,2026-01-08 10:48:19.701747+00,Una m�s y le sueno a psiqui�trico sobandosela,AMENAZA,"Código Penal, Artículo 189 (Amenazas Agravadas)",De seis meses a dos años de prisión.,"La frase 'Una más y le sueno a psiquiátrico' constituye una amenaza directa de causar un daño que podría constituir un delito (lesiones, coacción o daño psicológico grave). El añadido de 'sobandosela' introduce un componente de índole sexual y sumamente intimidatorio, que se considera un 'medio idóneo para intimidar', lo cual agrava la amenaza según el Artículo 189 del Código Penal. Este elemento sexual podría incluso ser evaluado bajo la Ley contra el hostigamiento sexual o exhibicionismo, dependiendo del contexto exacto de su ejecución."
11,2026-01-08 11:45:07.172913+00,su uso de la computadora debe ser supervisado,NO INFRACCIÓN,N/A,N/A,"La frase 'su uso de la computadora debe ser supervisado' por sí misma no describe ningún hecho que constituya una infracción a las leyes de Costa Rica. Es una declaración que puede referirse a una política interna, una recomendación o una obligación legítima (por ejemplo, en el ámbito laboral o parental) y no implica la comisión de un delito."
12,2026-01-08 12:09:29.628351+00,Que si quiere trabajar conmigo en una doctora?,NO INFRACCIÓN,N/A,N/A,El texto es una pregunta sobre una posible colaboración laboral o profesional y no describe ningún hecho que pueda constituir una infracción a las leyes costarricenses.
