id,created_at,user_text,Categoría Legal,Normativa,Penalidad Estimada,Detalles
1,2026-01-07 12:33:27.876231+00,a ver a que hora se culea a su madre,INJURIA,Artículo 145 del Código Penal de Costa Rica.,Veinte a sesenta días multa.,"La frase constituye una expresión vulgar y altamente ofensiva que atenta gravemente contra el honor y la dignidad de la persona a quien va dirigida, al involucrar de forma deshonrosa y con connotación sexual a un familiar directo. Se encuadra en el delito de injuria, de conformidad con el artículo 145 del Código Penal, al ser una expresión que menoscaba la dignidad de otro."
4,2026-01-08 03:09:10.07586+00,Para que no nos de tristeza verte salir con 91 años contagiado de sífilis. ,INJURIA,Código Penal Art. 145,Veinticinco a cincuenta días multa.,"La frase ofende el honor y el decoro de una persona al proyectar una condición de salud estigmatizante (sífilis) en una edad avanzada. Esto constituye una imputación deshonrosa que menoscaba la dignidad personal, encajando en la definición de injuria."
5,2026-01-08 03:09:52.515849+00,Que listo para aprender a debatir.,,,,
6,2026-01-08 03:10:31.184273+00,Por homosexual.,,,,
7,2026-01-08 03:36:19.688822+00,Gracias por ser un cornudo cobarde.,,,,
8,2026-01-08 03:37:02.143424+00,Ya aceptó que iba a debatir seguido de.,,,,
9,2026-01-08 03:37:49.277611+00,"Mae, se te está volviendo loco desde el otro inmueble.",,,,
10,2026-01-08 10:48:19.701747+00,Una más y le sueno a psiquiátrico sobandosela,,,,
11,2026-01-08 11:45:07.172913+00,su uso de la computadora debe ser supervisado,,,,
12,2026-01-08 12:09:29.628351+00,Que si quiere trabajar conmigo en una doctora?,,,,
13,2026-01-08 12:17:15.929132+00,Para que usted tenga que recurrir a la programación para esto en vez de haberse disfrazado de playo.,,,,
14,2026-01-08 12:40:38.540177+00,Por lo menos nos dio para un buen año de insultos.,,,,
15,2026-01-08 12:51:47.663933+00,Se quemó el pan. Qué madre.,,,,
16,2026-01-08 13:04:38.291241+00,Por que no mejor tiras a la basura la servilleta con la que te acabas de limpiar la nariz.,,,,
17,2026-01-08 13:07:04.683108+00,¬øQué es que no sabe ni hablar?,,,,
18,2026-01-08 13:25:39.643085+00,A Ver si así se le cura el complejo de pedófilo.,,,,
19,2026-01-08 13:31:48.371789+00,No puedo creer que seas un pedofilo tan sofisticado.,,,,
20,2026-01-08 13:34:03.932637+00,"Usted no me parió. Es lo que usted es, un pedofilo.",,,,
21,2026-01-08 13:35:44.264306+00,Anda masturbate con caricaturitas.,,,,
22,2026-01-08 13:37:07.504632+00,Yo no respeto a alguien que se masturba con pornografía infantil.,,,,
23,2026-01-08 13:38:58.319707+00,"Por que no se masturba con caricatura, turra.",,,,
24,2026-01-08 13:42:29.172222+00,"Sorry, por masturbarse con menores de edad.",,,,
25,2026-01-08 13:46:03.830265+00,Soy un papá y no tengo por qué temer tu masturbación.,,,,
26,2026-01-08 13:47:34.344352+00,"Yo no tengo barriga, a diferencia de tu que tienes cortada en ombligo.",,,,
27,2026-01-08 13:49:48.919288+00,Compa por que no se corta?,,,,
28,2026-01-08 13:54:44.317917+00,Primero me le cago y después voy al trabajo.,,,,
29,2026-01-08 13:57:59.489155+00,"Ay Marroquito, por que no crece?",,,,
30,2026-01-08 14:03:18.269879+00,¬øQué mediocre?,,,,
31,2026-01-08 14:14:02.85489+00,Cris marroquín se masturba con caricaturas ,,,,
32,2026-01-08 14:15:08.621791+00,"Cris, no es por nada pero que vago.",,,,
33,2026-01-08 14:39:39.436213+00,Anuncio que Cris marroquín ya tiene párkinson.,,,,
34,2026-01-08 14:43:19.837929+00,Gracias por el acceso no solicitado a ninguna casa maricón.,,,,
35,2026-01-08 14:47:08.931551+00,"Ahora sí, a ventilarme los huevos.",,,,
36,2026-01-08 14:52:45.307123+00,Que pene mas grande que tienes.,,,,
37,2026-01-08 14:56:41.138222+00,Por que usted estornuda para arriba?,,,,
38,2026-01-08 14:59:23.926654+00,Comunico con aquel que se masturba con literatura erótica?,,,,
39,2026-01-08 15:01:05.633925+00,Gracias por tragarse el poquito de semen ,,,,
40,2026-01-08 15:05:39.913543+00,Bienvenido al satanismo ,,,,
41,2026-01-08 15:08:42.760348+00,Se le registró como alguien que tiene contacto en puteros.,,,,
42,2026-01-08 15:17:44.830288+00,Ya me empezó a pedir ayuda en código Morse.,,,,
43,2026-01-08 15:24:48.153293+00,pedofilo,,,,
44,2026-01-08 15:24:55.417158+00,pedofilo,,,,
45,2026-01-08 15:25:58.489676+00,lo que te paso fue por pedofilo,,,,
46,2026-01-08 15:30:01.361294+00,"disculpe, no sabia que era phd en bajarme el autoestima",,,,
47,2026-01-08 15:32:30.136069+00,como pidió ayuda por código morse? ,,,,
48,2026-01-08 15:32:50.399282+00,"por que tan pedofilo, morales? ",,,,
49,2026-01-08 15:34:30.108376+00,"ahora a ver, exhálame en 3",,,,
50,2026-01-08 15:36:45.523771+00,"soy yo cris, perdón",,,,
58,2026-01-08 15:38:37.085379+00,para que no puedaj ni leer,,,,
59,2026-01-08 15:38:47.016986+00,para que no puedaj ni leer,,,,
60,2026-01-08 15:38:51.578312+00,para que no puedaj ni leer,,,,
61,2026-01-08 15:38:58.409254+00,para que no puedaj ni leer,,,,
62,2026-01-08 15:39:13.506073+00,no. mendigo era su papá.,,,,
63,2026-01-08 15:39:26.115469+00,no. mendigo era su papá. fui yo quien lo dejo ahí.,,,,
64,2026-01-08 15:39:31.546947+00,no. mendigo era su papá. fui yo quien lo dejo ahí.,,,,
